place_id,link_restaurant,place_name,place_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,lokasi_kota,tipe_makanan,level_price,rating_five,rating_ten,cost_range_min,cost_range_max
ChIJvzPpsZXnaC4RQMMby-tnwm0,https://pergikuliner.com/restaurants/bandung/burgertard-aceh,Burgertard Aceh,Burgertard Aceh  Bandung,Burgertard,5.0,"Jl. Belitung No.10, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",-6.9122823,107.6161754,Bandung,Barat,2,4.24,8.48,50000,100000
ChIJw-OPFjb81y0RRqwLfIyAok4,https://pergikuliner.com/restaurants/surabaya/wok-noodle-wiyung,Wok Noodle Wiyung,Wok Noodle Wiyung  Surabaya,Wok Noodle,4.1,"Pakuwon Trade Center No. 26-27, Jl. Mayjend. Jonosewojo No.2, Babatan, Kec. Wiyung, Surabaya, Jawa Timur 60227, Indonesia",-7.2908284,112.6745521,Surabaya,Indonesia,2,4.6,9.2,50000,100000
ChIJW0LqzP5Yei4RlRxexKN2oi0,https://www.tripadvisor.com/Restaurant_Review-g3916131-d13387498-Reviews-Bornga-Ngaglik_Sleman_District_Yogyakarta_Region_Java.html,Bornga Ngaglik,Bornga Ngaglik Yogyakarta,BORNGA,4.7,"Jl. Lempongsari Raya No.117A, Sumberan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.751018,110.3725242,Yogyakarta,"Asian, Korean",2,4.0,8.0,50000,100000
ChIJw0TbAV751y0RaHr6Rx8dRI8,https://pergikuliner.com/restaurants/surabaya/gyu-kaku-tegalsari,Gyu Kaku Tegalsari,Gyu Kaku Tegalsari  Surabaya,Gyu Kaku - Tunjungan Plaza 4,4.7,"Tunjungan Plaza 4, Jl. Jenderal Basuki Rachmat No.8-12, Surabaya, Jawa Timur 60261, Indonesia",-7.2632769,112.7399501,Surabaya,Jepang,4,4.62,9.24,200000,400000
ChIJw1KCYh751y0Rnc0gtH6E5CY,https://pergikuliner.com/restaurants/surabaya/djournal-coffee-tegalsari,Djournal Coffee Tegalsari,Djournal Coffee Tegalsari  Surabaya,Djournal Coffee Tunjungan Plaza 4,4.6,"Tunjungan Plaza 4 Lantai 1, Jl. Basuki Rahmat No.8-12, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261, Indonesia",-7.2631099,112.7386764,Surabaya,Kafe,2,4.29,8.58,50000,100000
ChIJw1oZtQTnaC4RIvbRZSv3Lsc,https://pergikuliner.com/restaurants/bandung/tom-sushi-sukajadi,Tom Sushi Sukajadi,Tom Sushi Sukajadi  Bandung,"Tom Sushi, Paris Van Java",3.6,"Paris Van Java Mall, Unit CL - 05, Jl. Sukajadi No.131 - 139, Kec. Sukajadi, Kota Bandung, Indonesia",-6.8890836,107.5959439,Bandung,Jepang,2,4.17,8.34,50000,100000
ChIJW2AvyliLcC4Rgkac_ewNyL8,https://www.tripadvisor.com/Restaurant_Review-g297712-d25070099-Reviews-Gold_Dragon_Semarang-Semarang_Central_Java_Java.html,Gold Dragon Semarang,Gold Dragon Semarang Semarang,Golden Dragon Restaurant,5.0,"F4 , Plaza Simpang Lima , JL. Jendral A. Yani , Pleburan , Semarang , 50241 Semarang Selatan , Jawa Tengah, Karangkidul, Semarang Tengah, Semarang City, Central Java 50241, Indonesia",-6.990222,110.424579,Semarang,"American, Asian",2,4.0,8.0,50000,100000
ChIJW2wL9xNZei4RG1dFctMxHjs,https://www.tripadvisor.com/Restaurant_Review-g2304080-d11742235-Reviews-Pizza_Lecker-Sleman_Sleman_District_Yogyakarta_Region_Java.html,Pizza Lecker Sleman,Pizza Lecker Sleman Yogyakarta,Legendary Pizza,4.0,"796W+QVG, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7380439,110.3972024,Yogyakarta,Pizza,1,4.0,8.0,20000,50000
ChIJw32ITBX71y0Rk6U9AGHgARo,https://pergikuliner.com/restaurants/surabaya/uplore-tegalsari,Uplore Tegalsari,Uplore Tegalsari  Surabaya,UPLORE,4.6,"Jl. Kapuas No.26, RT.008/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264, Indonesia",-7.2885627,112.7384687,Surabaya,Kafe,2,4.33,8.66,50000,100000
ChIJw3FrOPDxaS4RB9tdhBdrmtE,https://pergikuliner.com/restaurants/jakarta/vilo-gelato-senopati-2,Vilo Gelato Senopati,Vilo Gelato Senopati  Jakarta,Vilo Gelato Gunawarman,4.6,"Jl. Erlangga IV No.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia",-6.2329671,106.8079054,Jakarta,Es Krim,1,4.08,8.16,20000,50000
