place_icon_image,place_id,acommodation_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,acommodation_type,lokasi,lokasi_kecamatan,lokasi_kota,rate_level,rating.1,num_of_reviews,price_per_night,level_price
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000967-25a41477d959774f3759e84eb91806a5.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJl3ZXLu9Zei4RAX77gQDG-kc,"Eastparc Hotel Yogyakarta Depok, Yogyakarta",Eastparc Hotel Yogyakarta,4.7,"Jalan Laksda Adisucipto KM. 6.5 No.1, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7815236,110.4087306,Hotels,"Depok, Yogyakarta",Depok,Yogyakarta,Impressive,9.0,7577,"2,233,000",3
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20017854-22753e22c320a537b8a5ef36de0d3360.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJZ5iiooTEaC4RJy2ruQbRYDU,"Easton Park Apartment By 7RM Jatinangor, Bandung",Easton park jatinangor,4.0,"Jl. Raya Jatinangor No.78, Cibeusi, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363, Indonesia",-6.9364764,107.7652736,Apartments,"Jatinangor, Bandung",Jatinangor,Bandung,Impressive,8.5,38,"198,500",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10043500-42a042a2c69d0955f6df3db843e985ef.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJWZpSlotZei4RQjwvE_xkBNk," Ekost Sorowajan Depok, Yogyakarta",E-Kost Sorowajan,5.0,"Jl. Sorowajan Baru No.17, Tegal Tanda, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198, Indonesia",-7.7878202,110.3991307,Homestays,"Depok, Yogyakarta",Depok,Yogyakarta,Impressive,8.5,48,"180,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20034660-6886d0b764b478f74c579f2dbf23d564.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ82xQCB9Xei4RczW_5J2iRTU," King Kost Cokrodipuran 2 Malioboro Street, Yogyakarta",E-Kost Cokrodipuran,5.0,"Jl. Cokrodipuran No.14, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.7971862,110.3636245,Homestays,"Malioboro Street, Yogyakarta",Malioboro Street,Yogyakarta,Impressive,8.5,32,"240,900",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10011437-1276x850-FIT_AND_TRIM-263c939c542073817ca382025f3aab27.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ-V_7P6fxaS4RGzPb7WOxaLU,"Dwijaya House Of Pakubuwono Gandaria, Jakarta",Dwijaya House,4.7,"4, Jl. Dwijaya II No.7, RT.4/RW.15, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia",-6.2606031,106.7868881,Hotels,"Gandaria, Jakarta",Gandaria,Jakarta,Impressive,9.0,456,"1,222,222",3
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67827459-b65f0ea674c9d73cdf11d2fc974bd2e7.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJZyP6K-eDcC4RGFlO_6AzcMQ,"Dusun The Villas Bawen, Semarang",Dusun The Villas,4.4,"Dusun Semilir, Jl. Soekarno - Hatta No.49, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661, Indonesia",-7.2390858,110.4329852,Resorts,"Bawen, Semarang",Bawen,Semarang,Impressive,8.5,401,"346,500",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10032344-52db9dfa5a23a0d3cfc8215ee6c88b3f.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJncBwAqVXei4RqNE-6W3Latk,"Jogja Village Mergangsan, Yogyakarta",Dusun Jogja Village Inn,4.6,"Jl. Menukan No.5, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153, Indonesia",-7.8242628,110.3689732,Hotels,"Mergangsan, Yogyakarta",Mergangsan,Yogyakarta,Impressive,8.7,456,"550,000",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10005406-45d745c140cb368eee3b8ae78a4cbf7b.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJXRL8YozhaC4RA78HAlQCa1k,"Dusun Bambu Resort Parongpong, Bandung",Dusun Bambu Resort,4.7,"Jl. Kolonel Masturi No.km 11, Kertawangi, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40551, Indonesia",-6.7875432,107.5801816,Resorts,"Parongpong, Bandung",Parongpong,Bandung,Impressive,8.7,367,"3,080,000",4
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003324-7b673747c9f9eb59f239aae953eaef61.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJuYmgnn-LcC4RGQFJQnUHb88,"DS CoLive Sinabung Candisari, Semarang",DS CoLive Sinabung,3.9,"Jl. Sinabung V No.49, Wonotingal, Kec. Candisari, Kota Semarang, Jawa Tengah 50252, Indonesia",-7.015032,110.423486,Hotels,"Candisari, Semarang",Candisari,Semarang,Convenient,8.2,2592,"220,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003292-6d2bf0c0038bde9b27d0b3a9176871be.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJJ7D72zOLcC4R0HRRGsur_1g,"DS CoLive Siliwangi West Semarang, Semarang",DS CoLive Siliwangi,3.6,"Blok F4 Siliwangi Plaza, Jl. Jenderal Sudirman No.187, Karangayu, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9809828,110.3943879,Hotels,"West Semarang, Semarang",West Semarang,Semarang,Convenient,7.9,3662,"192,500",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003495-3710e90a8f199c59fcfe6fce080b0f4f.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJE-1fVJuMcC4RT_ST0TG48GI,"DS CoLive Peterongan South Semarang, Semarang",DS CoLive Peterongan,3.7,"Metro Plaza, D21, Jl. MT. Haryono No.970, Lamper Kidul, Semarang Selatan, Semarang City, Central Java 50249, Indonesia",-7.0049098,110.433016,Hotels,"South Semarang, Semarang",South Semarang,Semarang,Convenient,7.9,2952,"220,000",1
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10003525-850d0cab38b4fdca5baa72f08e1e54d5.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJBSdrkej0cC4R1VNtF78wg2I,"DS CoLive Marina Airport West Semarang, Semarang",DS CoLive Marina Airport,4.2,"Jalan Indo Karimun Kav. I - II, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.953051,110.391486,Hotels,"West Semarang, Semarang",West Semarang,Semarang,Impressive,8.5,2664,"220,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10040665-991b1419da3706766fa614eb995f9e1e.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJT5TFF6b0cC4RK2g_--rtSnY,"DS CoLive Layur Kota Lama North Semarang, Semarang",DS CoLive Layur,4.1,"Jl. Layur No.115, Dadapsari, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50173, Indonesia",-6.964497,110.4216283,Hostels,"North Semarang, Semarang",North Semarang,Semarang,Impressive,8.3,3030,"247,500",1
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10003325-41c9db2522bf971de442c57d775b5e57.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJLTpyzqqMcC4RRTnA48xHFyc,"DS CoLive 34 Pecinan Chinatown Semarang, Semarang",DS CoLive 34 Pecinan,3.6,"Gg. Pinggir No.34, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia",-6.975441,110.4284199,Hotels,"Chinatown Semarang, Semarang",Chinatown Semarang,Semarang,Convenient,8.1,3658,"220,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20046995-504eccfe814521382700baf9e60be08a.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ50fcSl351y0RsQuYazn5CLM,"DoubleTree by Hilton Surabaya Genteng, Surabaya",DoubleTree by Hilton Surabaya,4.7,"Jl. Tunjungan No.12, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275, Indonesia",-7.2568476,112.7370101,Hotels,"Genteng, Surabaya",Genteng,Surabaya,Impressive,8.8,964,"1,464,100",3
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10024320-9559695a606b1c97649ce81ff17617bc.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJHSO61Gr0aS4RJl0c_AEAvS0,"DoubleTree by Hilton Jakarta - Diponegoro Cikini, Jakarta",DoubleTree by Hilton Hotel Jakarta - Diponegoro,4.6,"Jl. Pegangsaan Timur No.17, Cikini, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",-6.1991057,106.8430771,Hotels,"Cikini, Jakarta",Cikini,Jakarta,Impressive,8.8,3282,"1,692,790",3
